housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,house_id
28.0,1905.0,372.0,1480.0,341.0,2.9844,79200.0,INLAND,13496
19.0,4620.0,1404.0,2672.0,1308.0,3.699,237500.0,<1H OCEAN,17970
6.0,5876.0,1406.0,2877.0,1304.0,2.5437,146400.0,<1H OCEAN,16721
16.0,1523.0,308.0,477.0,315.0,2.1696,75000.0,<1H OCEAN,19108
7.0,6814.0,785.0,2175.0,681.0,10.49,500001.0,<1H OCEAN,10418
52.0,2036.0,348.0,775.0,332.0,5.4122,397500.0,<1H OCEAN,4371
24.0,4043.0,952.0,2174.0,859.0,2.2244,114900.0,INLAND,13290
18.0,3405.0,556.0,1945.0,509.0,5.7652,299100.0,<1H OCEAN,7894
52.0,1596.0,276.0,642.0,273.0,4.375,349500.0,NEAR BAY,16006
17.0,9044.0,1689.0,5030.0,1596.0,3.6348,164500.0,<1H OCEAN,15580
26.0,1704.0,315.0,918.0,310.0,3.2464,208000.0,NEAR OCEAN,16668
30.0,2365.0,417.0,1053.0,409.0,5.5959,346200.0,NEAR OCEAN,17285
36.0,1722.0,353.0,1174.0,335.0,3.045,160600.0,<1H OCEAN,6937
35.0,1194.0,292.0,507.0,295.0,9.0812,500001.0,<1H OCEAN,8579
12.0,701.0,130.0,434.0,110.0,2.0577,56700.0,INLAND,12264
29.0,3058.0,488.0,1197.0,474.0,5.3903,286600.0,<1H OCEAN,11003
20.0,5476.0,1073.0,2327.0,963.0,5.6637,222100.0,<1H OCEAN,10807
34.0,1797.0,458.0,775.0,391.0,3.2308,331300.0,NEAR OCEAN,15283
41.0,3364.0,685.0,1841.0,626.0,2.1975,73500.0,INLAND,12601
21.0,3146.0,595.0,1580.0,513.0,2.7857,92700.0,INLAND,19885
43.0,2339.0,487.0,1732.0,449.0,3.0987,139400.0,<1H OCEAN,7468
17.0,4617.0,982.0,2303.0,923.0,3.9224,230600.0,NEAR OCEAN,17312
39.0,1469.0,226.0,553.0,225.0,7.8496,490800.0,<1H OCEAN,10793
25.0,2161.0,462.0,896.0,468.0,2.2284,177500.0,NEAR OCEAN,14607
19.0,2298.0,511.0,1246.0,513.0,2.212,132000.0,<1H OCEAN,17377
16.0,1641.0,354.0,945.0,318.0,3.4261,219700.0,<1H OCEAN,10557
26.0,1694.0,260.0,885.0,279.0,5.0875,224200.0,<1H OCEAN,11394
25.0,1630.0,353.0,1546.0,371.0,5.0893,173400.0,NEAR BAY,17123
37.0,663.0,127.0,293.0,132.0,3.7813,247800.0,<1H OCEAN,17953
21.0,2475.0,341.0,812.0,308.0,7.2589,320400.0,NEAR BAY,18936
28.0,731.0,155.0,285.0,162.0,3.2917,225000.0,NEAR OCEAN,20173
18.0,6025.0,1062.0,3360.0,1028.0,4.8889,155700.0,INLAND,13385
33.0,1984.0,289.0,842.0,276.0,5.2949,173300.0,INLAND,12946
17.0,1481.0,315.0,1002.0,300.0,3.6196,163400.0,<1H OCEAN,14527
52.0,2737.0,1241.0,1761.0,1029.0,1.8068,225000.0,NEAR BAY,15659
46.0,2292.0,472.0,970.0,431.0,2.2888,94900.0,INLAND,19055
25.0,6964.0,1066.0,3240.0,1036.0,5.2898,177100.0,INLAND,12072
44.0,2142.0,358.0,846.0,375.0,5.4273,421000.0,<1H OCEAN,17517
42.0,1521.0,320.0,1118.0,311.0,3.3125,154900.0,<1H OCEAN,6602
39.0,2754.0,652.0,2263.0,619.0,2.2454,89600.0,NEAR OCEAN,14184
15.0,1204.0,326.0,543.0,326.0,1.0278,154200.0,<1H OCEAN,15008
38.0,298.0,55.0,161.0,47.0,4.125,71300.0,INLAND,19979
32.0,3298.0,1228.0,763.0,360.0,1.875,47800.0,INLAND,13913
6.0,3694.0,574.0,1554.0,527.0,6.8333,348000.0,<1H OCEAN,18386
4.0,22128.0,3522.0,10450.0,3258.0,6.1287,289600.0,<1H OCEAN,13177
36.0,60.0,12.0,51.0,14.0,3.625,67500.0,INLAND,19544
47.0,1648.0,432.0,1308.0,385.0,1.2069,68200.0,INLAND,13588
27.0,2119.0,373.0,1268.0,345.0,2.8152,106900.0,INLAND,19997
44.0,1739.0,343.0,872.0,330.0,2.9632,286300.0,NEAR OCEAN,16108
42.0,1046.0,287.0,1218.0,289.0,2.6538,143400.0,<1H OCEAN,7416
36.0,2088.0,358.0,772.0,347.0,4.2762,310100.0,<1H OCEAN,17588
28.0,2388.0,437.0,1015.0,381.0,5.1512,268300.0,<1H OCEAN,19314
27.0,2682.0,382.0,935.0,369.0,10.0791,500001.0,NEAR BAY,9383
16.0,5498.0,729.0,2051.0,694.0,7.8601,416300.0,<1H OCEAN,18469
11.0,1299.0,280.0,1158.0,223.0,2.5556,129200.0,<1H OCEAN,17394
30.0,2685.0,546.0,951.0,523.0,2.6184,113900.0,INLAND,19974
7.0,10235.0,2238.0,5271.0,2094.0,3.6071,159100.0,INLAND,12042
35.0,995.0,202.0,615.0,199.0,5.0942,217500.0,<1H OCEAN,17902
27.0,2311.0,632.0,2936.0,609.0,2.5651,171400.0,<1H OCEAN,10908
31.0,1471.0,321.0,841.0,330.0,3.46,232800.0,<1H OCEAN,10093
8.0,2609.0,786.0,1803.0,695.0,2.7714,185700.0,<1H OCEAN,3648
23.0,1837.0,332.0,1064.0,335.0,3.1453,74500.0,INLAND,19986
20.0,1589.0,231.0,601.0,224.0,5.3755,290900.0,<1H OCEAN,9273
52.0,1674.0,346.0,734.0,335.0,3.8864,281300.0,NEAR BAY,15910
40.0,3110.0,764.0,1557.0,763.0,1.9937,367100.0,<1H OCEAN,4358
19.0,7976.0,1406.0,3437.0,1338.0,5.6396,430300.0,NEAR BAY,17003
33.0,620.0,161.0,420.0,164.0,1.8417,150000.0,NEAR OCEAN,14878
37.0,694.0,188.0,658.0,225.0,4.6103,237500.0,NEAR OCEAN,16809
15.0,1889.0,368.0,754.0,409.0,2.2278,132800.0,NEAR OCEAN,15476
7.0,13195.0,2696.0,6763.0,2437.0,3.5851,142000.0,INLAND,12115
22.0,1229.0,253.0,733.0,250.0,2.5,101600.0,INLAND,13073
34.0,2242.0,436.0,1483.0,443.0,4.4934,185600.0,<1H OCEAN,7809
29.0,2193.0,389.0,922.0,387.0,4.5476,309200.0,NEAR OCEAN,10423
12.0,1321.0,268.0,661.0,232.0,4.0062,153800.0,INLAND,10044
39.0,1295.0,239.0,566.0,242.0,5.6407,326400.0,NEAR BAY,17134
5.0,3264.0,442.0,1607.0,453.0,9.1415,500001.0,NEAR BAY,16996
22.0,2900.0,538.0,1445.0,515.0,4.511,296800.0,<1H OCEAN,19317
17.0,1951.0,368.0,681.0,350.0,2.7275,500001.0,<1H OCEAN,17307
33.0,2029.0,378.0,936.0,343.0,2.67,77500.0,INLAND,18815
14.0,1665.0,390.0,505.0,348.0,3.183,201200.0,<1H OCEAN,19184
25.0,2637.0,462.0,965.0,415.0,4.5833,190900.0,<1H OCEAN,11626
34.0,2160.0,298.0,852.0,305.0,6.0531,287100.0,<1H OCEAN,11197
25.0,1938.0,457.0,1280.0,425.0,3.9632,240300.0,<1H OCEAN,3928
48.0,2009.0,335.0,919.0,297.0,4.8125,170500.0,<1H OCEAN,5024
43.0,940.0,208.0,690.0,181.0,2.3056,62300.0,INLAND,16259
7.0,4314.0,725.0,1699.0,718.0,8.2037,500001.0,<1H OCEAN,8587
17.0,2556.0,587.0,1005.0,401.0,1.6991,69100.0,INLAND,13927
16.0,3781.0,504.0,1665.0,499.0,7.2554,335600.0,<1H OCEAN,10321
22.0,1229.0,253.0,733.0,250.0,2.5,101600.0,INLAND,13073
37.0,1282.0,244.0,852.0,249.0,4.2917,127900.0,<1H OCEAN,8334
9.0,456.0,130.0,438.0,114.0,0.8952,81300.0,<1H OCEAN,5202
14.0,3338.0,608.0,1373.0,562.0,3.67,160100.0,INLAND,10045
52.0,2515.0,494.0,1583.0,477.0,4.3393,317600.0,NEAR BAY,16064
9.0,6298.0,1512.0,4451.0,1456.0,2.569,88300.0,NEAR OCEAN,14780
13.0,2636.0,416.0,1137.0,404.0,7.2118,311500.0,<1H OCEAN,10610
14.0,5094.0,729.0,1974.0,705.0,5.5205,188700.0,INLAND,11787
39.0,3089.0,431.0,1175.0,432.0,7.5925,466700.0,NEAR OCEAN,14373
28.0,1814.0,526.0,849.0,420.0,3.1625,364300.0,<1H OCEAN,17243
27.0,2826.0,451.0,1259.0,439.0,5.7528,431400.0,<1H OCEAN,18100
19.0,1891.0,465.0,1693.0,416.0,2.7813,112900.0,INLAND,12027
49.0,1464.0,302.0,636.0,259.0,4.25,284100.0,NEAR OCEAN,16847
15.0,7901.0,1422.0,4769.0,1418.0,2.8139,90400.0,INLAND,12662
17.0,3214.0,551.0,1879.0,562.0,4.3643,124900.0,INLAND,12966
35.0,2787.0,587.0,1431.0,601.0,2.5469,65900.0,INLAND,19692
16.0,1978.0,375.0,961.0,333.0,2.6827,83900.0,INLAND,19738
33.0,2446.0,396.0,1209.0,412.0,4.3958,145600.0,INLAND,13272
23.0,6291.0,1269.0,2818.0,1198.0,4.2672,391900.0,NEAR BAY,15849
35.0,1605.0,392.0,743.0,382.0,2.5368,240000.0,NEAR OCEAN,18537
9.0,2012.0,316.0,802.0,289.0,6.5706,255700.0,<1H OCEAN,15197
35.0,3623.0,841.0,2721.0,766.0,2.1574,86900.0,INLAND,12122
23.0,1918.0,339.0,1392.0,340.0,4.087,134800.0,NEAR OCEAN,14748
37.0,1282.0,244.0,852.0,249.0,4.2917,127900.0,<1H OCEAN,8334
33.0,1729.0,396.0,1073.0,344.0,4.2083,180500.0,<1H OCEAN,8472
34.0,757.0,212.0,409.0,222.0,3.2312,192200.0,NEAR OCEAN,14643
17.0,1527.0,267.0,775.0,260.0,5.9658,278000.0,<1H OCEAN,18011
10.0,714.0,131.0,381.0,119.0,0.8926,116100.0,INLAND,13403
40.0,1723.0,370.0,1221.0,370.0,3.3562,169200.0,<1H OCEAN,6954
21.0,5639.0,894.0,2670.0,871.0,6.0809,270000.0,NEAR OCEAN,18613
16.0,2777.0,503.0,1432.0,500.0,2.5592,75900.0,INLAND,18744
4.0,19001.0,2688.0,8980.0,2441.0,6.3237,260900.0,<1H OCEAN,14554
21.0,259.0,38.0,142.0,45.0,5.2681,500001.0,NEAR OCEAN,20175
28.0,4605.0,1188.0,2558.0,1093.0,3.6988,266600.0,<1H OCEAN,8683
14.0,3355.0,695.0,1350.0,697.0,2.6506,164600.0,<1H OCEAN,18567
38.0,1713.0,285.0,779.0,286.0,5.6152,359900.0,<1H OCEAN,6741
44.0,2204.0,473.0,1277.0,435.0,1.5539,59200.0,INLAND,16295
31.0,4424.0,834.0,1915.0,817.0,4.1364,412000.0,NEAR OCEAN,16872
26.0,2851.0,533.0,1544.0,499.0,3.5379,99100.0,INLAND,16357
11.0,1802.0,440.0,630.0,428.0,2.0337,146700.0,<1H OCEAN,14724
10.0,2050.0,473.0,1302.0,471.0,2.7961,131300.0,<1H OCEAN,15434
33.0,1950.0,1047.0,3707.0,1012.0,1.7238,110000.0,<1H OCEAN,4587
17.0,4379.0,629.0,1720.0,595.0,5.086,148400.0,INLAND,13833
33.0,2263.0,430.0,900.0,382.0,4.4028,246800.0,<1H OCEAN,5049
36.0,1226.0,211.0,711.0,219.0,4.5699,170800.0,<1H OCEAN,7677
18.0,2525.0,501.0,1726.0,468.0,2.398,87600.0,INLAND,12568
17.0,4251.0,899.0,3265.0,934.0,2.3496,65000.0,INLAND,20605
32.0,2782.0,495.0,1092.0,455.0,5.4103,335900.0,<1H OCEAN,18075
14.0,2073.0,343.0,1107.0,330.0,6.7093,311200.0,<1H OCEAN,17858
19.0,4768.0,807.0,2199.0,805.0,6.1896,331100.0,NEAR OCEAN,17181
28.0,1246.0,295.0,884.0,258.0,1.4397,51700.0,INLAND,12797
32.0,3407.0,1071.0,1463.0,986.0,3.0369,500001.0,<1H OCEAN,8929
16.0,2896.0,404.0,1165.0,379.0,6.4559,392900.0,INLAND,13231
7.0,7684.0,1088.0,2812.0,1057.0,6.3401,387300.0,NEAR OCEAN,10428
28.0,1127.0,245.0,538.0,208.0,2.037,72000.0,INLAND,18733
37.0,1176.0,291.0,648.0,271.0,2.7167,92200.0,INLAND,18960
52.0,1529.0,385.0,1347.0,348.0,2.9312,239100.0,NEAR BAY,15868
26.0,3940.0,657.0,1180.0,600.0,6.1025,500001.0,NEAR OCEAN,14471
22.0,5201.0,865.0,3280.0,817.0,4.7952,141400.0,NEAR OCEAN,14990
21.0,259.0,38.0,142.0,45.0,5.2681,500001.0,NEAR OCEAN,20175
25.0,1759.0,404.0,1404.0,385.0,3.6289,195800.0,<1H OCEAN,11569
19.0,1569.0,351.0,1035.0,352.0,2.9191,159400.0,<1H OCEAN,15447
19.0,2364.0,373.0,1264.0,390.0,5.0176,274200.0,INLAND,16564
15.0,3672.0,845.0,1827.0,796.0,2.9716,173600.0,NEAR OCEAN,15327
24.0,2746.0,433.0,1076.0,380.0,5.8635,348700.0,NEAR OCEAN,17195
20.0,5643.0,1231.0,3841.0,1195.0,4.0542,168400.0,<1H OCEAN,7933
25.0,3655.0,545.0,1776.0,544.0,5.687,238100.0,<1H OCEAN,20338
42.0,1741.0,301.0,723.0,306.0,5.5379,410500.0,NEAR BAY,9372
21.0,2063.0,609.0,1686.0,558.0,1.4828,94800.0,NEAR OCEAN,14104
27.0,3267.0,762.0,2099.0,647.0,3.4,224100.0,<1H OCEAN,8493
23.0,2062.0,376.0,1302.0,379.0,4.0109,145700.0,NEAR OCEAN,15322
27.0,3960.0,886.0,2807.0,838.0,3.024,122500.0,INLAND,11895
9.0,2568.0,421.0,1149.0,398.0,5.4287,331600.0,NEAR OCEAN,16667
27.0,1318.0,216.0,495.0,191.0,5.2837,283800.0,NEAR OCEAN,14574
52.0,3944.0,1072.0,1913.0,973.0,2.9567,425000.0,NEAR BAY,15747
39.0,1228.0,379.0,851.0,341.0,1.899,113300.0,<1H OCEAN,17395
23.0,2679.0,792.0,1740.0,659.0,1.3679,70300.0,INLAND,12629
36.0,1972.0,382.0,1029.0,411.0,3.7337,209000.0,NEAR OCEAN,20246
52.0,1180.0,216.0,467.0,197.0,4.9615,292200.0,NEAR BAY,9348
44.0,1167.0,201.0,452.0,209.0,3.7344,179800.0,INLAND,12547
17.0,2641.0,627.0,1167.0,647.0,2.2875,132400.0,<1H OCEAN,15540
24.0,2824.0,441.0,1480.0,471.0,5.2614,177200.0,<1H OCEAN,15148
39.0,1486.0,467.0,758.0,409.0,2.6875,320600.0,<1H OCEAN,17218
19.0,1920.0,471.0,1413.0,432.0,4.0313,147500.0,<1H OCEAN,11346
20.0,2126.0,643.0,1112.0,597.0,3.625,283300.0,NEAR OCEAN,16934
43.0,908.0,232.0,1005.0,224.0,1.75,134000.0,<1H OCEAN,7188
3.0,6251.0,988.0,2330.0,893.0,8.4355,467600.0,NEAR OCEAN,14558
40.0,2936.0,732.0,2024.0,676.0,2.1139,70900.0,INLAND,13649
26.0,2987.0,539.0,1931.0,518.0,5.1099,213100.0,<1H OCEAN,17792
34.0,3268.0,640.0,1906.0,628.0,2.8237,110700.0,INLAND,16456
52.0,2155.0,468.0,962.0,490.0,3.775,325900.0,NEAR BAY,15846
15.0,4138.0,636.0,2001.0,677.0,4.8419,264000.0,<1H OCEAN,14682
37.0,1249.0,218.0,583.0,214.0,5.7422,330700.0,<1H OCEAN,8709
35.0,2984.0,446.0,1435.0,455.0,5.6276,200800.0,<1H OCEAN,11087
41.0,2050.0,478.0,850.0,490.0,3.4208,343400.0,<1H OCEAN,3771
15.0,1840.0,235.0,855.0,241.0,7.5992,310600.0,<1H OCEAN,15202
29.0,1219.0,338.0,1152.0,323.0,2.8029,180900.0,INLAND,6486
22.0,2956.0,642.0,1342.0,558.0,4.1151,203200.0,<1H OCEAN,11013
5.0,7854.0,1446.0,4361.0,1395.0,4.9504,214800.0,NEAR BAY,18862
16.0,1613.0,245.0,811.0,267.0,5.2591,140700.0,INLAND,13687
27.0,2049.0,417.0,1230.0,336.0,4.6477,265900.0,INLAND,13151
37.0,2586.0,765.0,1801.0,737.0,2.6042,305800.0,<1H OCEAN,5461
25.0,3548.0,639.0,2653.0,664.0,5.2557,188800.0,<1H OCEAN,6923
26.0,2756.0,422.0,1166.0,398.0,5.1354,181600.0,NEAR OCEAN,14942
33.0,3007.0,498.0,1252.0,488.0,3.8816,134600.0,INLAND,13735
27.0,1710.0,282.0,1089.0,297.0,4.6793,151900.0,NEAR OCEAN,14918
24.0,3505.0,819.0,2098.0,774.0,1.9575,67000.0,INLAND,2263
10.0,2656.0,506.0,1349.0,501.0,4.25,83200.0,INLAND,3113
26.0,1156.0,393.0,1880.0,400.0,2.2716,350000.0,<1H OCEAN,11199
20.0,2572.0,732.0,1534.0,669.0,2.4211,175000.0,<1H OCEAN,10898
41.0,1404.0,313.0,765.0,330.0,1.8792,63300.0,INLAND,12775
42.0,1207.0,278.0,699.0,279.0,3.3611,117600.0,INLAND,16578
39.0,3996.0,793.0,1744.0,761.0,4.5075,364900.0,NEAR OCEAN,17033
36.0,2785.0,577.0,1275.0,527.0,2.3015,156800.0,NEAR OCEAN,14169
26.0,5321.0,889.0,2932.0,896.0,5.8914,237600.0,<1H OCEAN,11585
22.0,1526.0,299.0,790.0,300.0,2.4342,125000.0,INLAND,16397
33.0,2938.0,561.0,1519.0,549.0,4.5594,204200.0,<1H OCEAN,6216
16.0,2889.0,423.0,1227.0,401.0,6.4514,270800.0,<1H OCEAN,10244
35.0,2118.0,374.0,1108.0,360.0,3.4327,100300.0,INLAND,9059
23.0,2126.0,506.0,2091.0,491.0,1.3713,51800.0,INLAND,9263
16.0,2966.0,578.0,1365.0,480.0,3.2444,118400.0,INLAND,12967
12.0,1840.0,254.0,580.0,234.0,6.7769,400000.0,<1H OCEAN,15188
18.0,2087.0,353.0,992.0,329.0,4.5,222600.0,<1H OCEAN,15572
10.0,1922.0,577.0,1595.0,545.0,1.5208,118800.0,NEAR OCEAN,14131
33.0,4168.0,1112.0,1785.0,984.0,2.7515,247700.0,NEAR OCEAN,14380
31.0,3209.0,723.0,1489.0,692.0,3.6619,245100.0,NEAR OCEAN,18654
35.0,865.0,226.0,602.0,217.0,3.0,229100.0,NEAR OCEAN,16864
30.0,2345.0,496.0,1897.0,454.0,2.4375,112100.0,INLAND,5996
35.0,1484.0,252.0,916.0,248.0,5.2657,191400.0,<1H OCEAN,11168
18.0,2603.0,478.0,1158.0,423.0,4.5938,150500.0,INLAND,19867
22.0,2265.0,637.0,1684.0,561.0,2.6729,217100.0,<1H OCEAN,5772
30.0,2897.0,506.0,1508.0,478.0,3.865,88400.0,INLAND,12863
52.0,1391.0,287.0,632.0,276.0,1.7431,131500.0,<1H OCEAN,17364
5.0,3584.0,760.0,1097.0,470.0,3.1771,167400.0,INLAND,12408
15.0,2102.0,358.0,957.0,371.0,3.1908,137900.0,INLAND,19744
14.0,3732.0,846.0,1277.0,775.0,2.5658,208000.0,NEAR BAY,19069
16.0,3907.0,671.0,1759.0,663.0,3.1776,172600.0,<1H OCEAN,15485
28.0,2405.0,462.0,1011.0,378.0,4.504,204300.0,<1H OCEAN,20435
25.0,4707.0,695.0,1995.0,642.0,6.6437,296100.0,<1H OCEAN,17999
5.0,4944.0,1164.0,1727.0,948.0,4.9,255600.0,<1H OCEAN,10699
36.0,2163.0,367.0,915.0,360.0,4.7188,174100.0,NEAR OCEAN,14691
34.0,2061.0,260.0,825.0,254.0,15.0001,500001.0,<1H OCEAN,6592
35.0,1145.0,274.0,1651.0,265.0,3.125,120300.0,<1H OCEAN,7792
52.0,1410.0,303.0,578.0,285.0,2.5625,235400.0,NEAR OCEAN,9823
38.0,3166.0,575.0,1351.0,561.0,3.5404,91600.0,INLAND,16226
21.0,2050.0,608.0,1131.0,550.0,2.4779,165000.0,NEAR OCEAN,14388
35.0,1378.0,247.0,645.0,217.0,5.9143,343400.0,<1H OCEAN,8725
30.0,140.0,35.0,103.0,35.0,4.163,112500.0,INLAND,19015
18.0,1920.0,333.0,890.0,323.0,5.159,144800.0,INLAND,13691
20.0,2029.0,357.0,1497.0,353.0,4.0089,132100.0,NEAR OCEAN,14747
27.0,1823.0,360.0,907.0,317.0,3.276,172900.0,<1H OCEAN,19339
13.0,4110.0,847.0,1796.0,706.0,2.6417,122300.0,INLAND,1225
31.0,1860.0,394.0,1848.0,293.0,2.2891,162500.0,INLAND,16424
33.0,1927.0,482.0,1623.0,479.0,3.5268,152000.0,<1H OCEAN,7024
22.0,4020.0,655.0,1486.0,635.0,5.9639,262300.0,<1H OCEAN,10261
50.0,3265.0,509.0,1256.0,443.0,6.3997,500001.0,<1H OCEAN,17214
30.0,729.0,131.0,488.0,139.0,4.7667,195200.0,<1H OCEAN,11235
48.0,1778.0,541.0,1237.0,462.0,1.3438,103100.0,INLAND,16191
26.0,1499.0,290.0,755.0,277.0,3.5893,238500.0,<1H OCEAN,11095
35.0,1853.0,375.0,878.0,338.0,4.9044,335300.0,NEAR OCEAN,17284
16.0,6058.0,1715.0,3285.0,1495.0,3.4133,290900.0,<1H OCEAN,11407
39.0,3348.0,666.0,1817.0,668.0,4.2593,227400.0,NEAR OCEAN,16824
52.0,1931.0,358.0,1092.0,356.0,3.7835,271300.0,NEAR BAY,15935
34.0,1126.0,256.0,589.0,243.0,2.1776,84400.0,INLAND,12768
5.0,1688.0,430.0,857.0,402.0,3.7857,231600.0,<1H OCEAN,10715
52.0,2602.0,,1330.0,647.0,3.5435,278600.0,NEAR BAY,15976
34.0,2456.0,410.0,1289.0,442.0,4.1818,224200.0,<1H OCEAN,11274
17.0,4234.0,770.0,2191.0,725.0,3.6445,197600.0,<1H OCEAN,15051
19.0,1687.0,253.0,893.0,257.0,6.204,201800.0,<1H OCEAN,19093
20.0,1999.0,651.0,1302.0,592.0,1.6321,57500.0,NEAR OCEAN,14868
26.0,2955.0,377.0,1074.0,373.0,9.3845,500001.0,<1H OCEAN,11002
19.0,2610.0,474.0,1290.0,452.0,4.1298,222800.0,INLAND,16561
52.0,2909.0,851.0,1711.0,830.0,3.0296,500001.0,NEAR BAY,15648
21.0,418.0,132.0,401.0,120.0,1.7206,82100.0,INLAND,13672
36.0,1860.0,364.0,777.0,339.0,4.1307,295700.0,<1H OCEAN,19087
37.0,2801.0,497.0,1150.0,476.0,5.8311,387700.0,<1H OCEAN,17234
23.0,2949.0,473.0,1671.0,477.0,5.195,161000.0,INLAND,12076
15.0,3236.0,451.0,1289.0,416.0,11.1121,493000.0,<1H OCEAN,10725
37.0,1242.0,221.0,565.0,213.0,4.1094,215800.0,<1H OCEAN,8029
15.0,2755.0,519.0,1474.0,460.0,4.0408,225900.0,<1H OCEAN,15573
30.0,2053.0,368.0,1496.0,391.0,3.6546,186200.0,NEAR OCEAN,20294
5.0,9137.0,1368.0,3667.0,1294.0,5.4896,229600.0,INLAND,11759
21.0,3260.0,763.0,1735.0,736.0,2.5162,97500.0,INLAND,12766
11.0,13714.0,2302.0,6511.0,2267.0,3.5522,100100.0,INLAND,18746
9.0,674.0,242.0,575.0,193.0,2.2024,45000.0,INLAND,16186
26.0,2335.0,504.0,1121.0,502.0,2.9891,205200.0,<1H OCEAN,11175
2.0,17978.0,3217.0,7305.0,2463.0,5.1695,220800.0,INLAND,12007
34.0,1599.0,296.0,938.0,307.0,4.285,184900.0,<1H OCEAN,10186
29.0,2465.0,327.0,859.0,315.0,6.6605,220700.0,INLAND,16395
38.0,855.0,172.0,468.0,150.0,1.4091,84400.0,INLAND,18711
38.0,281.0,55.0,151.0,52.0,1.3906,120800.0,INLAND,13764
9.0,4609.0,798.0,2582.0,746.0,4.3429,173900.0,<1H OCEAN,15350
37.0,1798.0,331.0,860.0,340.0,4.2143,228500.0,<1H OCEAN,8159
26.0,2146.0,298.0,852.0,296.0,6.6137,342700.0,<1H OCEAN,11598
35.0,2118.0,374.0,1108.0,360.0,3.4327,100300.0,INLAND,9059
42.0,2533.0,433.0,957.0,398.0,5.3468,279900.0,<1H OCEAN,18369
14.0,5983.0,1224.0,3255.0,1150.0,2.5902,111500.0,INLAND,13519
40.0,3552.0,392.0,1024.0,370.0,15.0001,500001.0,<1H OCEAN,8852
11.0,1265.0,224.0,573.0,205.0,3.3603,162500.0,INLAND,10026
22.0,2711.0,352.0,1305.0,368.0,8.5407,398800.0,<1H OCEAN,11628
17.0,3917.0,638.0,1809.0,564.0,5.2586,137000.0,INLAND,12993
30.0,1328.0,346.0,577.0,328.0,2.3284,290600.0,NEAR OCEAN,14446
29.0,3377.0,853.0,1674.0,792.0,3.4233,229300.0,<1H OCEAN,17939
16.0,1470.0,261.0,748.0,256.0,4.0433,132200.0,INLAND,19025
26.0,2807.0,630.0,1785.0,580.0,2.1638,132800.0,<1H OCEAN,15042
4.0,1606.0,498.0,815.0,426.0,3.375,500001.0,<1H OCEAN,10416
50.0,3312.0,1095.0,1475.0,997.0,2.7165,500001.0,NEAR BAY,15708
15.0,4061.0,811.0,2884.0,734.0,3.3936,127000.0,INLAND,13303
16.0,2814.0,485.0,1305.0,465.0,5.5121,224100.0,<1H OCEAN,18430
17.0,3043.0,608.0,1457.0,545.0,3.1641,158600.0,<1H OCEAN,16732
20.0,1962.0,334.0,1173.0,349.0,4.1316,162500.0,<1H OCEAN,15410
45.0,1778.0,339.0,839.0,319.0,2.4659,102900.0,INLAND,19009
16.0,2397.0,501.0,1053.0,557.0,2.6994,112500.0,INLAND,16392
40.0,2529.0,293.0,831.0,258.0,15.0001,500001.0,NEAR BAY,17112
52.0,1901.0,335.0,955.0,301.0,3.8259,253100.0,NEAR OCEAN,18527
31.0,1008.0,212.0,453.0,195.0,2.3917,113500.0,INLAND,16444
27.0,2512.0,506.0,1861.0,511.0,4.2386,184200.0,<1H OCEAN,11329
52.0,977.0,289.0,412.0,272.0,2.125,300000.0,<1H OCEAN,17219
24.0,1569.0,377.0,715.0,321.0,3.1146,187500.0,NEAR OCEAN,14600
26.0,1391.0,241.0,700.0,236.0,6.6766,332700.0,<1H OCEAN,18122
20.0,1106.0,494.0,851.0,448.0,0.8894,350000.0,<1H OCEAN,17533
34.0,3262.0,533.0,1265.0,502.0,5.8411,381800.0,<1H OCEAN,17221
5.0,18690.0,2862.0,9427.0,2777.0,6.4266,315600.0,<1H OCEAN,6062
16.0,2223.0,454.0,628.0,382.0,4.3603,248800.0,<1H OCEAN,10456
28.0,1219.0,408.0,1816.0,348.0,1.7589,118300.0,NEAR OCEAN,8213
25.0,10336.0,2596.0,7111.0,2419.0,3.3627,197900.0,<1H OCEAN,11068
17.0,1804.0,304.0,750.0,298.0,4.5588,196400.0,<1H OCEAN,19177
14.0,3615.0,913.0,1924.0,852.0,3.5083,280900.0,<1H OCEAN,5826
37.0,102.0,17.0,29.0,14.0,4.125,72000.0,INLAND,20626
45.0,204.0,62.0,133.0,51.0,1.0,90600.0,INLAND,10037
11.0,3170.0,420.0,1418.0,432.0,7.5118,361900.0,<1H OCEAN,20430
15.0,5394.0,748.0,2383.0,706.0,7.5619,302000.0,<1H OCEAN,10576
26.0,2283.0,506.0,634.0,469.0,2.3774,74300.0,<1H OCEAN,10703
36.0,435.0,95.0,285.0,90.0,1.2292,69600.0,INLAND,20513
26.0,2574.0,414.0,1096.0,428.0,6.0738,335900.0,<1H OCEAN,18035
24.0,3566.0,765.0,1697.0,722.0,3.6375,178600.0,NEAR OCEAN,14620
16.0,4208.0,630.0,2592.0,662.0,6.1966,260500.0,<1H OCEAN,10880
52.0,3521.0,767.0,1415.0,687.0,4.875,362200.0,NEAR BAY,15840
52.0,287.0,119.0,154.0,85.0,0.8738,75000.0,INLAND,16184
36.0,2064.0,474.0,1366.0,421.0,4.1,243100.0,<1H OCEAN,8459
